"","X","name","circuit","num_kids","girls","sons","woman","yearb","race","religion","republican","progressive_vote"
"180",193,"Rymer, Pamela A.",9,0,0,0,1,1941,1,7,1,0.5
"181",194,"Sack, Robert",2,0,0,0,0,1939,1,5,0,0.25
"182",195,"Schroeder, Mary Murphy",9,2,2,0,1,1940,1,99,0,0.666666667
"183",196,"Scirica, Anthony J.",3,0,0,0,0,1940,1,4,1,0.25
"184",197,"Seitz, Collins J.",3,4,1,3,0,1914,1,4,0,0
"185",198,"Selya, Bruce M.",1,2,2,0,0,1934,1,5,1,0.583333333
"186",199,"Sentelle, David B.",12,3,2,1,0,1943,1,3,1,0.692307692
"187",200,"Seymour, Stephanie Kulp",10,4,3,1,1,1940,1,1,0,0.454545455
"188",201,"Silberman, Laurence H.",12,3,2,1,0,1935,1,5,1,1
"189",202,"Siler, Eugene E., Jr.",6,2,0,2,0,1936,1,3,1,0.133333333
"190",203,"Silverman, Barry",9,1,1,0,0,1951,1,5,0,0.25
"191",204,"Skopil, Otto R.",9,4,2,2,0,1919,1,8,1,1
"192",205,"Sloviter, Dolores K.",3,1,1,0,1,1932,1,5,0,1
"193",206,"Smith, Jerry",5,2,1,1,0,1946,1,10,1,0.538461538
"194",207,"Sotomayor, Sonia",2,0,0,0,1,1954,3,4,0,0.727272727
"195",209,"Stapleton, Walter K.",3,3,1,2,0,1934,1,3,1,0.25
"196",211,"Straub,  Chester",2,4,0,4,0,1937,1,4,0,0.857142857
"197",213,"Tacha, Deanell R.",10,4,2,2,0,1946,1,10,1,0.260869565
"198",214,"Tallman, Richard",9,0,0,0,0,1953,1,2,0,0.333333333
"199",215,"Tashima, Atsushi",9,3,1,2,0,1934,4,7,0,0.555555556
"200",216,"Tatel, David Stephen",12,4,3,1,0,1942,1,5,0,0.444444444
"201",217,"Thomas, Sidney",9,2,0,2,0,1953,1,99,0,0.8
"202",219,"Tjoflat, Gerald B.",5,2,1,1,0,1929,1,2,1,0.5
"203",221,"Traxler, William",4,2,0,2,0,1948,1,2,0,0.454545455
"204",222,"Trott, Stephen S.",9,2,2,0,0,1939,1,8,1,0.333333333
"205",223,"Van Graafeiland, Ellsworth A.",2,5,3,2,0,1915,1,8,1,0.857142857
